
Deployment Image Servicing and Management tool
Version: 10.0.26100.8972

Image Version: 10.0.26200.9168

Obtaining list of 3rd party drivers from the driver store...

Driver packages listing:


-------------- | ------------------------------------------ | ----- | ------------------------------ | ------------------------------- | ---------- | ----------------
Published Name | Original File Name                         | Inbox | Class Name                     | Provider Name                   | Date       | Version         
-------------- | ------------------------------------------ | ----- | ------------------------------ | ------------------------------- | ---------- | ----------------
oem0.inf       | sssdmdm2.inf                               | No    | Modem                          | Samsung Electronic, Co. Ltd.    | 11/25/2009 | 5.2.0.0         
oem1.inf       | helloface.inf                              | No    | Biometric                      | Windows Hello Face              | 6/1/2018   | 10.0.19041.3636 
oem10.inf      | ssm_bus.inf                                | No    | USB                            | SAMSUNG Electronics Co.,Ltd.    | 11/25/2009 | 5.12.0.0        
oem100.inf     | wintun.inf                                 | No    | Net                            | WireGuard LLC                   | 10/13/2021 | 0.14.0.0        
oem101.inf     | surfacepen0953firmwareupdate.inf           | No    | Extension                      | Surface                         | 10/23/2019 | 1.155.139.0     
oem102.inf     | sscebus.inf                                | No    | USB                            | SAMSUNG Electronics Co., Ltd.   | 11/30/2012 | 5.30.14.0       
oem103.inf     | surfacecfuoverhid.inf                      | No    | Firmware                       | Surface                         | 4/7/2022   | 5.50.139.0      
oem104.inf     | netwtw08.inf                               | No    | net                            | Intel                           | 9/2/2024   | 23.80.0.7       
oem105.inf     | surfacedtxdriver.inf                       | No    | System                         | Surface                         | 5/23/2020  | 3.85.139.0      
oem106.inf     | sscdw2k.inf                                | No    | Modem                          | SAMSUNG Electronics Co., Ltd.   | 11/30/2012 | 5.30.14.0       
oem107.inf     | ish.inf                                    | No    | System                         | Intel                           | 7/30/2019  | 3.1.0.4027      
oem108.inf     | prnms001.inf                               | No    | Printer                        | Microsoft                       | 6/21/2006  | 10.0.26100.1    
oem109.inf     | surfacesam.inf                             | No    | Firmware                       | Surface                         | 4/29/2024  | 10.600.139.0    
oem11.inf      | intcdaud.inf                               | No    | MEDIA                          | Intel(R) Corporation            | 11/21/2021 | 11.2.0.10       
oem110.inf     | intcsdw.inf                                | No    | MEDIA                          | Intel(R) Corporation            | 8/2/2022   | 10.24.0.7927    
oem111.inf     | ssaeunic.inf                               | No    | USB                            | SAMSUNG Electronics Co., Ltd.   | 2/5/2010   | 5.14.0.0        
oem112.inf     | ssudbus.inf                                | No    | USB                            | SAMSUNG Electronics Co., Ltd.   | 9/23/2024  | 2.21.0.0        
oem113.inf     | oemvista.inf                               | No    | Net                            | TAP-NordVPN Windows Provider V9 | 5/30/2018  | 9.0.0.23        
oem114.inf     | sscesdm2.inf                               | No    | Ports                          | SAMSUNG Electronics Co., Ltd.   | 11/30/2012 | 5.30.14.0       
oem115.inf     | surfacetouchpenprocessorupdate.inf         | No    | Extension                      | Surface                         | 5/24/2020  | 4.212.139.0     
oem116.inf     | surfacebattery.inf                         | No    | Battery                        | Surface                         | 2/13/2020  | 2.26.139.0      
oem117.inf     | heci.inf                                   | No    | System                         | Intel                           | 8/15/2024  | 2433.6.3.0      
oem118.inf     | surfacesmf_15in.inf                        | No    | Firmware                       | Surface                         | 7/27/2022  | 39.0.1.4        
oem119.inf     | intcdaud.inf                               | No    | MEDIA                          | Intel(R) Corporation            | 11/21/2021 | 10.27.0.12      
oem12.inf      | oemextension.inf                           | No    | Extension                      | Intel                           | 12/25/2019 | 1952.14.0.1470  
oem120.inf     | ssudrnds.inf                               | No    | Net                            | SAMSUNG Electronics Co., Ltd.   | 9/23/2024  | 2.21.0.0        
oem121.inf     | axusbeth.inf                               | No    | Net                            | ASIX                            | 1/5/2026   | 4.22.1.0        
oem122.inf     | nvppc.inf                                  | No    | USB                            | NVIDIA                          | 9/20/2020  | 1.46.831.832    
oem123.inf     | surfaceme.inf                              | No    | Firmware                       | Surface                         | 10/11/2024 | 13.0.2436.2     
oem124.inf     | ss_bsdm2.inf                               | No    | Ports                          | Samsung Electronics Co., LTD    | 9/19/2009  | 5.0.0.0         
oem125.inf     | ssudqcnet.inf                              | No    | Net                            | SAMSUNG Electronics Co., Ltd.   | 9/23/2024  | 2.21.0.0        
oem126.inf     | surfaceihvcpusmfclient.inf                 | No    | SurfaceSystemManagement        | Surface                         | 12/12/2023 | 1.173.45.0      
oem127.inf     | surfaceihvgpupowercontrollerdriver.inf     | No    | System                         | Surface                         | 12/26/2019 | 2.43.139.0      
